img_url,name
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8xz75kq0j20ld0ld0x1.jpg,动感懵逼
http://ww2.sinaimg.cn/bmiddle/9150e4e5ly1fk8xz3sje9j206o04ya9z.jpg,"中计了,这屎有毒"
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8ugl8vxkj20rs0rsdmx.jpg,分手吧，我爱过你
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8y2vpnobj20hs0hsafp.jpg,那我就不知道了
http://ww3.sinaimg.cn/bmiddle/9150e4e5ly1fk3o5mtty5j207r087jrl.jpg,执茶在手笑看纷争
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8xz2avp7j20g00g0aaf.jpg,呼叫坑逼呼叫坑逼，起床打排位起床打排位
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8ug5ewqhj20rs0rs7c7.jpg,你这老污龟
http://ww1.sinaimg.cn/bmiddle/9150e4e5ly1fk8y3f772jg208c08cmxt.gif,"千万别学这个傻逼,老是幻想自己很厉害"
http://ww2.sinaimg.cn/bmiddle/9150e4e5ly1fk3o5l3jyzg205a05adit.gif,我都惊呆了
http://ww3.sinaimg.cn/bmiddle/9150e4e5ly1fk8xz0dab4g208c08cmx9.gif,今日我虽屈服在你淫威之下，明日我定将你压倒在席梦思
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8ufuwtoij20rs0rsqa3.jpg,我想跟你有一腿
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8y3ch4pij20c80c8wet.jpg,你看你多垃圾根本没人理你
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk3o5g69a2j20k00f0myb.jpg,要你管哦
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8xyyi7z2j20xd0tx404.jpg,大哥撸猫
http://ww3.sinaimg.cn/bmiddle/9150e4e5ly1fk8ufnna35j20rs0rs10e.jpg,哦?你倒是再凶啊
http://ww1.sinaimg.cn/bmiddle/9150e4e5ly1fk8y3afxd9j203h03h74t.jpg,你TM在逗我?
http://ww3.sinaimg.cn/bmiddle/9150e4e5ly1fk3o5e5zxqj2076070wek.jpg,不好意思偷错了应该是这个
http://ww3.sinaimg.cn/bmiddle/9150e4e5ly1fk8xyvem61g206o06o0tp.gif,举手投降
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8uffqojfj20rs0rsgss.jpg,没时间了快上车，谁都不能走往山里边开！老司机三连
http://ww3.sinaimg.cn/bmiddle/9150e4e5ly1fk8y383nqhj204y05it8l.jpg,这人挺搞笑的
http://ww1.sinaimg.cn/bmiddle/9150e4e5ly1fk3o5ckvayj205205imx2.jpg,马桶大亨
http://ww3.sinaimg.cn/bmiddle/9150e4e5ly1fk8xyt7vfvj205i045a9y.jpg,社会主义核心价值观拳!!
http://ww2.sinaimg.cn/bmiddle/9150e4e5ly1fk8uf6zn06j20rs0rsqa3.jpg,包吭气儿!再说话打你个鳖孙
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8y2aluw1g207t087weo.gif,biu biu biu （蘑菇头版）
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk3o5b2emfj205h05vjrf.jpg,草泥马请你尊重所有群的人，看你们就觉得恶心不要脸
http://ww2.sinaimg.cn/bmiddle/9150e4e5ly1fk8y03axtij202s02lq2z.jpg,千真万确
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8uewb6gqj20rs0rsqaa.jpg,吓死你
http://ww2.sinaimg.cn/bmiddle/9150e4e5ly1fk8y3hbgg6j205705i74z.jpg,"宜家滴后生仔,真系越来越唔生性"
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk3o59hxgsj20g00e9jrx.jpg,不是妹子就别跟老子搭话
http://ww4.sinaimg.cn/bmiddle/9150e4e5ly1fk8y04t939j202502c742.jpg,将稽就稽
http://ww2.sinaimg.cn/bmiddle/9150e4e5ly1fk33u73uorj205602ymx2.jpg,男人不配有面子并且男人没有脸，男人木有小鸡鸡还煞比！
